Date,Open,High,Low,Close
08-Dec-10,6913,6913.1,6818.25,6850.9
09-Dec-10,6873.6,6928.85,6834.35,6843.75
10-Dec-10,6827.4,6882.8,6799.65,6869.1
13-Dec-10,6872.1,6896.5,6744.3,6886.1
14-Dec-10,6907,6955.95,6852.3,6935.5
15-Dec-10,6920.45,7034.45,6920.45,7024.65
16-Dec-10,7048.9,7221.65,7037.9,7211.8
20-Dec-10,7136.95,7363.95,7136.95,7332.05
21-Dec-10,7340.5,7380.1,7301,7325.7
22-Dec-10,7323.75,7342.15,7270.35,7302.95
23-Dec-10,7325.15,7360.35,7307.45,7339.6
24-Dec-10,7289.7,7378.1,7287,7353.65
27-Dec-10,7339.75,7407.75,7339.75,7364.1
28-Dec-10,7355.85,7400.9,7355.85,7387.25
29-Dec-10,7388.45,7446.5,7374.85,7426.6
30-Dec-10,7429.15,7512.1,7429.15,7503.65
31-Dec-10,7484.8,7511.05,7436.15,7491.1
03-Jan-11,7503.95,7524.6,7463.8,7492.45
04-Jan-11,7500.3,7560.65,7499.55,7512.3
05-Jan-11,7489.75,7547.15,7479.65,7508
06-Jan-11,7544.7,7566.6,7484.25,7545.95
07-Jan-11,7533.7,7591.9,7311.3,7333.8
10-Jan-11,7343.3,7418.2,7264.75,7317.45
11-Jan-11,7233.55,7369.35,7131.5,7194.5
12-Jan-11,7247.35,7356.25,7195.15,7324.05
13-Jan-11,7198.85,7202.4,7044.8,7063.95
14-Jan-11,7043.65,7219.8,7043.65,7068.2
17-Jan-11,7057.55,7197.5,7049.8,7178.2
18-Jan-11,7209.55,7378.05,7209.55,7360.85
19-Jan-11,7349.45,7353.6,7231.15,7267.1
20-Jan-11,7222.9,7373.6,7207.8,7353.75
21-Jan-11,7302.7,7305.3,7228.8,7249.8
24-Jan-11,7232.6,7312.75,7207.65,7295.1
25-Jan-11,7283.3,7327.1,7220.4,7242.5
27-Jan-11,7256.5,7256.5,7132.9,7146.55
28-Jan-11,7159.55,7220.45,7005.9,7065.35
31-Jan-11,6990.75,6995.1,6884.9,6971.25
01-Feb-11,6992,6999.75,6824.75,6898.65
02-Feb-11,6964.4,7063.3,6928.9,6961.65
03-Feb-11,6978.75,7061.8,6928.55,6998.9
04-Feb-11,6965.65,7001.4,6824.2,6850.65
07-Feb-11,6916.85,6920.35,6839.8,6861.25
08-Feb-11,6879.55,6915.45,6830.75,6847.5
09-Feb-11,6825.15,6867.15,6759.05,6828.9
10-Feb-11,6799.5,6811.85,6697.3,6720.45
11-Feb-11,6667.25,6742.75,6624.05,6719.65
14-Feb-11,6727.45,6888.1,6724.4,6869.05
15-Feb-11,6872.8,6892.1,6782.15,6855.05
16-Feb-11,6831.15,6884.85,6800.4,6862.1
17-Feb-11,6895.6,6916.55,6857,6893.3
18-Feb-11,6911.35,6957.25,6805.15,6832.05
21-Feb-11,6831.05,7026.15,6784.2,7014.1
22-Feb-11,6958.35,7029.6,6900.4,6966.8
23-Feb-11,6906.85,6923.65,6846.45,6856.7
24-Feb-11,6803.9,6827.8,6683.75,6706.45
25-Feb-11,6723.8,6728.2,6599.75,6679.8
28-Feb-11,6688.55,6918.7,6628.05,6666.3
01-Mar-11,6714.6,6853.75,6671.55,6831.45
03-Mar-11,6779.05,6814.2,6706.55,6786.8
04-Mar-11,6859.85,6894.7,6793.65,6810.55
07-Mar-11,6754.7,6794.6,6703.1,6747.05
08-Mar-11,6730.3,6898.35,6722.85,6871.7
09-Mar-11,6879.95,6914.2,6809,6861.9
10-Mar-11,6851.65,6851.65,6775.45,6827.7
11-Mar-11,6780.4,6798.5,6692.7,6722.25
14-Mar-11,6683.05,6831.05,6676.9,6822
15-Mar-11,6686.05,6738.5,6630.9,6689.05
16-Mar-11,6689.25,6776.9,6689.25,6733.3
17-Mar-11,6651.65,6690.8,6624.4,6633.85
18-Mar-11,6631.95,6662.4,6536.3,6552.65
21-Mar-11,6578.9,6581.2,6489.65,6504.85
22-Mar-11,6530.75,6564.15,6506.2,6533.95
23-Mar-11,6525.5,6601.4,6505.3,6595.65
24-Mar-11,6605.9,6669.8,6604,6660.55
25-Mar-11,6751.95,6960.45,6732.85,6930.65
28-Mar-11,6901.15,6938.7,6857.2,6912.35
29-Mar-11,6903.95,7026.15,6902.65,6983.25
30-Mar-11,6993.2,7061.8,6986.3,7010.05
31-Mar-11,7021.45,7192.35,7021.45,7148.1
01-Apr-11,7136.8,7174.9,7084.5,7109.85
04-Apr-11,7130.25,7281.35,7130.25,7267.85
05-Apr-11,7265.5,7324.1,7188.35,7313.8
06-Apr-11,7305.75,7344.9,7242.3,7270.85
07-Apr-11,7249.75,7249.75,7190.3,7215.4
08-Apr-11,7205.6,7249,7136.5,7168.8
11-Apr-11,7107.5,7207.5,7099.2,7157.85
13-Apr-11,7106.2,7328.75,7089.5,7306.1
15-Apr-11,7297.9,7298.25,6824.05,6842.15
18-Apr-11,6764.4,6852.45,6638.3,6651.05
19-Apr-11,6650.3,6703.2,6619.1,6668.45
20-Apr-11,6745.8,6825.6,6745.8,6818.15
21-Apr-11,6859.8,6899.35,6762.65,6780.85
25-Apr-11,6778.45,6856.55,6773.35,6834.4
26-Apr-11,6825.95,6853.65,6775.65,6825.35
27-Apr-11,6817.9,6832.25,6792.55,6809.1
28-Apr-11,6807.75,6815.45,6718.6,6729.75
29-Apr-11,6722.8,6752.1,6680.65,6718.35
02-May-11,6740.55,6772.4,6697.2,6715.65
03-May-11,6711.25,6755.2,6620,6644.7
04-May-11,6641.3,6641.3,6516.9,6576.5
05-May-11,6577.8,6583.65,6484.85,6506.55
06-May-11,6530.65,6658.6,6530.65,6627
09-May-11,6645.15,6656.35,6554.85,6620.3
10-May-11,6616.45,6686.5,6568.8,6596.75
11-May-11,6601.75,6677.05,6601.75,6650.45
12-May-11,6618,6644.2,6559.7,6569.2
13-May-11,6569.2,6668.15,6565.45,6609.55
16-May-11,6601.05,6615.9,6558.4,6564.05
17-May-11,6547.75,6622.25,6541.2,6562.5
18-May-11,6572.9,6640.15,6527.35,6582.55
19-May-11,6620.45,6620.45,6580,6594.25
20-May-11,6609.65,6637.05,6576.7,6615.4
23-May-11,6586.65,6595.85,6534.1,6566.85
24-May-11,6552.6,6587.55,6537.05,6557.6
25-May-11,6538.05,6538.05,6402.8,6457.4
26-May-11,6478.65,6488.85,6410.95,6450.45
27-May-11,6444.95,6517.15,6444.95,6507.6
30-May-11,6538.5,6540.5,6481.2,6515.9
31-May-11,6533.45,6604.4,6525.1,6538.5
01-Jun-11,6544.8,6619.75,6544.8,6604.05
02-Jun-11,6535.75,6593,6530,6573.2
03-Jun-11,6574.6,6633.15,6555.5,6562.05
06-Jun-11,6549.35,6624.6,6519.9,6610.45
07-Jun-11,6592.25,6711.2,6592.25,6696.45
08-Jun-11,6684.1,6701.85,6652.2,6672.6
09-Jun-11,6670.95,6682.35,6642.05,6659.35
10-Jun-11,6664.65,6689.75,6633.9,6653.45
13-Jun-11,6631.25,6661.85,6592.9,6650.6
14-Jun-11,6656.7,6682.25,6655.85,6671.35
15-Jun-11,6650.3,6654.4,6581.95,6595.2
16-Jun-11,6582.25,6582.25,6474,6480.75
17-Jun-11,6481.7,6485.5,6336.85,6357.1
20-Jun-11,6365.75,6367.5,6050,6166.45
21-Jun-11,6193.4,6274.75,6160.8,6237.15
22-Jun-11,6281.8,6297,6223.85,6240.2
23-Jun-11,6228.4,6311.85,6199.3,6298.35
24-Jun-11,6318.2,6520.1,6318.2,6499.1
27-Jun-11,6437.1,6585.95,6428.7,6530.8
28-Jun-11,6543.3,6561.65,6465.4,6525.35
29-Jun-11,6531.5,6596.55,6531.5,6570.6
30-Jun-11,6579.05,6640.5,6558.95,6624.7
01-Jul-11,6681.75,6715.65,6648,6674.75
04-Jul-11,6724.75,6746.65,6678.15,6685.85
05-Jul-11,6711.95,6732.65,6660.35,6708.4
06-Jul-11,6695.25,6748.2,6672.25,6704.1
07-Jul-11,6705.75,6796.8,6696.95,6787.35
08-Jul-11,6793,6835.25,6714,6723.85
11-Jul-11,6689.3,6719.5,6574.9,6612.05
12-Jul-11,6483.05,6483.05,6337.8,6415.45
13-Jul-11,6384.9,6454.8,6382.7,6408.55
14-Jul-11,6383.35,6385.95,6314.6,6325.9
15-Jul-11,6395.3,6420,6324,6346.05
18-Jul-11,6351.1,6360.75,6286.5,6296.75
19-Jul-11,6304.3,6388,6303.35,6365.95
20-Jul-11,6409.25,6409.25,6306.75,6327.7
21-Jul-11,6314.05,6368.55,6294.6,6335.9
22-Jul-11,6366.3,6461.2,6361.9,6438.5
25-Jul-11,6426.3,6451.75,6381.25,6434.45
26-Jul-11,6433.65,6462.15,6379.1,6426.85
27-Jul-11,6431.35,6470.5,6398.4,6408.45
28-Jul-11,6344.4,6346.6,6273.65,6307.4
29-Jul-11,6293.65,6356.5,6264.75,6335.1
01-Aug-11,6350.4,6422.8,6340.95,6382.1
02-Aug-11,6353.35,6353.35,6266.3,6274.95
03-Aug-11,6232.25,6232.25,6170.95,6217.35
04-Aug-11,6222.8,6266.3,6149.1,6157.2
05-Aug-11,6022.4,6022.4,5770.3,5911.55
08-Aug-11,5709.9,5717.75,5570.7,5651.75
09-Aug-11,5415.25,5572.15,5394.05,5452.4
10-Aug-11,5603.65,5660.1,5530.65,5588.7
11-Aug-11,5551.2,5603.65,5507.8,5555.6
12-Aug-11,5636.45,5636.45,5362.25,5416.25
16-Aug-11,5514.1,5532.6,5435.1,5469.65
17-Aug-11,5459.65,5608.35,5459.65,5571.2
18-Aug-11,5599.1,5601.7,5332.8,5348.35
19-Aug-11,5208.95,5208.95,5011.1,5113.85
